Stations,Start,End
kennington oval,678,719
new globe walk,767,750
bolsover street,1165,1161
charlbert street,506,497
rainville road,486,497
everington street,690,736
wapping lane,1275,1222
mile end stadium,692,651
golden square,1222,1261
new north road 2,505,479
maida vale,1322,1297
horseferry road,1143,1152
harford street,823,817
east village,951,948
british museum,1521,1508
royal london hospital,2487,2514
regent's row ,1569,1570
webber street ,874,854
christian street,1169,960
harris academy,838,836
clerkenwell green,1117,1100
abingdon villas,610,622
cantrell road,280,264
putney pier,721,717
battersea power station,1931,1926
brick lane market,768,777
coram street,794,761
killick street,227,236
malmesbury road,219,203
flamborough street,1373,1362
erin close,1028,1020
st. mary & st. michael church,256,235
nutford place,801,718
charing cross hospital,957,970
park street,585,614
ford road,858,875
ram street,910,905
heron quays dlr,95,144
baker street,1120,1145
ravenscourt park station,1023,1046
falcon road,1586,1614
south quay east,142,173
york hall,930,960
ada street,827,794
greyhound road,1009,1000
evesham street,212,238
palissy street,731,640
goldsmith's row,1116,874
harrowby street,802,752
hollybush gardens,363,392
waterloo bridge,613,665
wellington road,730,679
strata,1866,1857
lexham gardens,888,953
phene street,890,913
queensway,1426,1417
new cavendish street,1089,1090
st. katharine's way,655,658
upper richmond road,419,384
cadogan gardens,1116,1107
danvers street,624,626
moor street,1797,1836
binfield road,1221,1203
sidney road,613,562
hammersmith road,1542,1598
kensington town hall,369,366
gascoyne road,673,689
ansell house,1299,1154
queen mary's,1614,1581
abbey orchard street,1119,1395
liverpool road (n1 centre),1364,1365
hibbert street,732,759
chicheley street,1787,1769
lambeth north station,1018,1025
cleaver street,506,500
shouldham street,695,629
seymour place,1048,1041
vincent street,1046,1027
knaresborough place,943,952
sardinia street,1181,1427
ethelburga estate,1594,1648
warwick square,1102,930
bedford way,941,953
watney market,805,849
bankside mix,1108,1200
cephas street,777,701
charles ii street,939,908
lambeth road,753,744
london street,2974,2509
windsor terrace,1074,965
curlew street,1333,1339
bermondsey station,1023,1084
west kensington station,613,624
cadogan place,628,655
westfield library corner,795,847
southerton road,752,724
albert street,649,581
hermitage court,714,669
stamford street,1323,1406
kennington cross,1371,1277
belgrave square,490,488
fulham broadway,1982,1990
euston road,727,756
argyll road,708,680
eaton square (south),421,477
seville street,1037,1016
reardon street,840,727
watney street,948,855
craven street,2005,2054
fire brigade pier,671,598
islington green,1931,1851
mostyn grove,670,605
russell square station,1282,1209
south kensington station,1688,1694
colet gardens,236,245
great dover street,1438,1299
burdett road,1090,1073
montserrat road ,324,366
paddington green,359,316
clifton street,542,546
rectory square,625,580
rampayne street,1178,1160
page street,1355,1445
hartington road,848,826
aberdeen place,582,615
clifton road,872,888
albany street,679,584
dorset square,1556,1570
carnegie street,783,601
sail street,806,763
fawcett close,387,334
lambeth palace road,1777,1799
bunhill row,1370,1397
rochester row,760,754
smith square,1086,1196
bath street,1571,1581
ashley crescent,855,779
bermondsey street,1282,1289
clinton road,600,561
pont street,1081,1115
st. john's park,263,257
bridge avenue,1062,1084
gwendwr road,617,595
smugglers way,819,791
kennington road,963,898
belvedere road 1,1058,1076
gunmakers lane,612,589
hoxton street,609,569
rodney road ,648,643
central house,1544,1560
new inn yard,1110,1114
east ferry road,210,201
walworth square,1576,1576
city road,961,830
copper box arena,632,659
claremont square,701,638
alfreda street,666,664
great percy street,856,768
portman square,800,817
nantes close,218,232
putney bridge road,321,326
garnet street,641,560
lansdowne road,833,823
sirdar road,121,120
borough road,874,875
cloudesley road,793,564
collingham gardens,912,915
eaton square,370,371
shoreditch court,655,640
devonshire terrace,1210,1122
great suffolk street,886,910
st mary's hospital,1368,1304
crabtree lane,604,614
elysium place,414,378
maplin street,1722,1663
braham street,1605,1601
granby street,1034,923
philpot street,809,784
stewart's road,374,358
harper road,402,460
bromley high street,668,676
tate modern,1451,1467
addison road,453,442
palace gardens terrace,1137,1028
hatton garden,1371,1299
camley street,434,431
montpelier street,1252,1261
upper grosvenor street,192,176
golden lane,916,883
alderney street,1506,1403
upper bank street,1174,1264
william morris way,887,900
bonner gate,1055,1025
milroy walk,781,802
wright's lane,1752,1736
abbotsbury road,301,273
george row,1148,1105
bishop's bridge road west,1431,1381
green park station,1604,1622
brushfield street,2714,3518
thorndike close,742,725
south wharf road,965,951
lee valley velopark,553,537
commercial street,633,640
the blue,750,750
eccleston place,1821,1822
westminster university,584,623
walmer road,310,302
victoria park road,713,709
belvedere road 2,758,794
warwick road,1072,1046
bourne street,860,884
lsbu (borough road),644,603
guildhouse street,782,755
normand park,1154,1100
union street,973,980
aquatic centre,1080,1087
monier road,1172,1181
saunders ness road,614,641
teviot street,189,182
vereker road,1091,1056
queensdale road,235,270
fulham park road,630,607
pitfield street central,1048,959
shepherd's bush road north,849,825
lightermans road,703,684
clapham common north side,863,830
sea containers,949,963
burgess park albany road,1213,1217
york way,1139,1146
albert gate,2411,2291
phillimore gardens,1035,1039
black prince road,760,757
little brook green,767,753
mile end park leisure centre,764,771
london fields,1646,1651
manresa road,990,980
blenheim crescent,886,878
george place mews,765,791
prince of wales drive,690,692
belgrave road,1131,1172
ashley place,1046,1119
clarendon road,323,341
breams buildings,818,990
paddington street,946,958
poured lines,648,711
sheepcote lane,595,583
stebondale street,209,269
bow church station,961,917
finnis street,559,471
bishop's bridge road east,492,371
gloucester terrace,657,615
lollard street,938,882
clapham road,358,343
westminster pier,2082,2096
doddington grove,978,842
frith street,1184,1193
norton folgate,1014,1023
whiston road,617,536
hansard mews,486,481
east india dlr,398,463
southern grove,425,398
queen street 2,2381,3666
derry street,2003,2026
humbolt road,779,763
blackfriars road,909,969
south parade,686,671
austin road,888,863
neville gill close,529,529
eagle wharf road,1905,1538
albert bridge road,821,791
kennington lane rail bridge,2021,2007
moorfields,2183,2708
st. peter's terrace,904,888
st. pancras way,324,277
cleveland gardens,638,599
millbank tower,1006,1027
dunston road ,862,852
halford road,1095,1091
gloucester street,1196,973
tavistock street,1183,1310
de vere gardens,1096,952
hinde street,1338,1480
northumberland avenue,972,1131
broadley terrace,608,543
hardwick street,659,491
greycoat street ,505,520
ashmole estate,608,576
monument street,1135,1259
st martins close,451,426
drury lane,1923,1944
elizabeth bridge,1211,1435
fanshaw street,1398,1285
longford street,651,577
buxton street 1,377,376
hawley crescent,447,455
imperial college,2353,2754
empire square,1262,1221
percival street,624,517
barbican centre,945,949
bevington road west,981,1019
broomhouse lane,312,323
south park,694,683
sopwith way,837,839
farringdon street,616,621
clements road,294,355
wardour street,1481,1483
green street,1018,1028
soho square ,2631,3343
frampton street,834,724
finsbury circus,2106,2714
richmond way,809,816
jubilee crescent,497,463
borough high street,861,897
hampstead road,1706,1695
surrey lane,954,897
import dock,1171,1232
rathbone street,671,662
thurtle road,581,515
river street ,548,409
murray grove ,899,695
st. john street,671,620
southampton street,1141,1161
euston square gardens,957,945
wynne road,360,358
queen victoria street,1010,1012
westfield southern terrace ,283,278
union grove,668,683
lord's,321,206
charlotte street,850,862
stainsby road ,671,657
st. bride street,865,874
kings gate house,681,726
hurlingham park,256,266
scala street,805,811
marloes road,360,385
ranelagh gardens,387,349
pancras road,578,588
bricklayers arms,1263,1259
newby place,317,319
marylebone lane,1110,1158
south lambeth road,1357,1371
penfold street,572,580
sun street,933,952
museum of london,1224,1229
king edward street,513,485
russell gardens,452,462
ilchester gardens,1199,1034
campden hill road,390,387
esmond street,213,205
north wharf road,751,681
mallory street,562,388
lower marsh,842,854
lots road,522,539
king edward walk,250,244
red lion street,1501,1523
roscoe street,718,733
cadogan close,691,702
south bermondsey station,593,608
tallis street,836,1087
wellington arch,1365,1384
plough terrace,406,400
crinan street,322,310
merchant street,487,487
warwick row,1716,2037
ormonde gate,800,826
sugden road,684,691
portugal street,602,613
grosvenor square,899,1072
lower thames street,648,636
buckingham gate,931,988
ossulston street,1360,1300
st. chad's street,663,672
snow hill,771,745
aberfeldy street,350,372
exhibition road museums 1,1043,1051
north audley street,1026,1115
geraldine street,409,410
east road,727,565
here east north,249,231
waterloo station 2,2098,1493
new spring gardens walk,427,662
bruton street,564,560
rifle place,253,270
st. mark's road,575,609
pennington street,696,702
holland park,552,424
wells street,1449,1517
archbishop's park,587,617
canton street,536,530
ladbroke grove central,203,161
royal avenue 2,707,694
woodstock street,643,655
greenland road,1289,1151
ingrave street,262,255
old ford road,345,300
portland place,1005,992
the tennis courts,452,471
millharbour,291,293
grosvenor crescent,345,327
peterborough road,306,299
royal college street,893,664
little argyll street,2392,2491
battersea church road,1107,955
denyer street,710,741
temple gardens,958,963
prince albert road,705,637
chapel place,1070,1079
lancaster drive,383,377
putney rail station,326,314
taviton street,1738,1615
high holborn ,1105,1130
great russell street,908,921
jewry street,906,918
finlay street,919,884
stonecutter street,728,765
triangle car park,1042,1037
clifford street,608,819
finsbury library ,682,571
broadcasting house,1047,1077
bury place,656,670
godliman street,1086,1120
queensbridge road,497,458
spanish road,260,172
southwark street,543,539
greenberry street,440,315
alma road,348,292
oxford road,204,224
harcourt terrace,871,767
morie street,159,162
kennington road post office,887,885
santos road,248,180
st. george street,748,1077
bramham gardens,1717,1294
eel brook common,504,519
macclesfield rd,1054,869
colombo street,323,333
wellington street ,1811,1790
alpha grove,509,511
george street,1009,1222
houndsditch,971,1596
howick place,1360,1574
st. john's wood church,616,386
rotherhithe roundabout,650,650
northfields,151,174
southampton place,818,934
carey street,578,584
storey's gate,1719,2039
dock street,1209,1115
ferndale road,1010,1042
here east south,249,273
strand,1917,1906
queen's gate (north),1244,1806
kingsway southbound,1196,2346
fore street avenue,649,849
curzon street,608,650
natural history museum,1430,1618
wood street,557,727
waterloo station 3,4867,4384
vicarage gate,444,450
grafton street,436,634
arlington road,587,515
palace gate,1216,1202
red lion square,836,832
newgate street ,1919,2265
houghton street,950,958
worship street,1325,1337
pindar street,543,597
black lion gate,1930,1938
podium,1063,1067
vauxhall street,795,803
fore street,631,821
st. mary axe,935,950
limburg road,470,460
napier avenue,266,271
finsbury square ,1141,1375
bank of england museum,1167,1192
christopher street,662,763
serpentine car park,1638,1644
queen's gate,1227,1234
exhibition road museums 2,888,891
the guildhall,566,662
aintree street,1106,1007
farm street,533,531
kingsway,459,460
culvert road,384,301
hertford road,726,692
victoria & albert museum,856,861
london zoo,394,377
orsett terrace,198,209
ilchester place,247,199
risinghill street,511,351
mudchute dlr,156,150
st john's crescent,273,280
london zoo car park,398,409
kensington gore,878,888
lansdowne walk,165,122
great titchfield street,580,626
theobald's road ,178,187
